-0.000397552,-0.699943,0.000190989,-1.20079,-0.00138462,1.89963,0.785854,-1.21236e-16,-0.7,-4.78337e-17,-1.2,-3.70182e-15,1.9,0.785398,-0.000313799,0.000423109,-0.000156431,0.00121038,0.000144292,0.00111644,-0.000197116,0,0,0,0,0,0,0,
-0.000395881,-0.699938,0.00019433,-1.2008,-0.00138843,1.89963,0.785857,-1.21236e-16,-0.7,-4.78337e-17,-1.2,-3.70182e-15,1.9,0.785398,0.00023843,0.00115386,0.000436525,-0.000318596,-0.000188966,0.000118422,0.000880667,0,0,0,0,0,0,0,
-0.000395881,-0.699943,0.000192659,-1.20079,-0.00138513,1.89963,0.785854,-1.21236e-16,-0.7,-4.78337e-17,-1.2,-3.70182e-15,1.9,0.785398,0.000236047,8.53176e-05,0.000728306,0.00588345,1.00697e-05,0.000844027,0.000961375,0,0,0,0,0,0,0,
-0.000395881,-0.699948,0.000194356,-1.20079,-0.00138726,1.89963,0.785854,-1.21236e-16,-0.7,-4.78337e-17,-1.2,-3.70182e-15,1.9,0.785398,0.000197688,-0.00135156,0.000309139,0.000742399,1.74443e-05,0.000260175,-0.00015396,0,0,0,0,0,0,0,
-0.000399077,-0.699829,0.000186693,-1.20087,-0.00139644,1.89963,0.785876,-5.35528e-05,-0.699725,-7.07439e-05,-1.20047,-0.000602572,1.89994,0.78581,-0.00117676,0.000342919,0.000649144,-0.00449313,0.000441988,-0.000199119,0.00141188,-0.00111243,0.00572343,-0.00146953,-0.0097978,-0.0125169,-0.00129656,0.00856307,
-0.000397937,-0.699002,-8.84758e-05,-1.20209,-0.00246037,1.8996,0.78691,-0.000222945,-0.698854,-0.000294513,-1.20196,-0.00250856,1.89974,0.787112,0.00154853,0.014271,-0.00711482,-0.0219331,-0.0229927,-0.000508431,0.0162147,-0.0022597,0.0116193,-0.0029851,-0.0198519,-0.025426,-0.00260628,0.0173624,
-0.000555248,-0.697724,-0.000416826,-1.20441,-0.00524487,1.8994,0.78889,-0.000505777,-0.697401,-0.000668138,-1.20444,-0.00569097,1.89941,0.789287,-0.00383466,0.0154701,-0.00045543,-0.0297509,-0.0324225,-0.00355792,0.0206288,-0.00338148,0.0173743,-0.00446699,-0.0297015,-0.0380482,-0.0039184,0.0259832,
-0.000881229,-0.695844,-0.0010197,-1.20776,-0.00943109,1.89898,0.791884,-0.000899501,-0.695378,-0.00118825,-1.2079,-0.0101211,1.89896,0.792314,-0.0079245,0.0237244,-0.00965185,-0.0371993,-0.0504653,-0.00401148,0.030726,-0.00447776,0.0230022,-0.00591521,-0.0393499,-0.0503837,-0.00517839,0.0344407,
-0.00142982,-0.693184,-0.00168765,-1.21222,-0.0151112,1.89843,0.795742,-0.00140713,-0.69277,-0.00185883,-1.21236,-0.0158329,1.89837,0.796216,-0.00631699,0.0262994,-0.00646746,-0.0435775,-0.0559285,-0.00484614,0.0389028,-0.00555916,0.0285626,-0.00734374,-0.0488649,-0.0625512,-0.0064604,0.0427491,
-0.00202858,-0.690116,-0.00247996,-1.21745,-0.0218878,1.89781,0.800422,-0.00201603,-0.689641,-0.0026632,-1.21772,-0.0226842,1.89767,0.800898,-0.00738197,0.0284081,-0.00707625,-0.0504815,-0.0668036,-0.00614219,0.0508805,-0.00660417,0.0339421,-0.0087243,-0.0580175,-0.0743101,-0.00762563,0.0507854,
-0.00274418,-0.686607,-0.00338471,-1.22369,-0.02954,1.89704,0.805879,-0.00272816,-0.685982,-0.00360393,-1.22397,-0.030697,1.89684,0.806373,-0.00731899,0.0384867,-0.00801599,-0.0693313,-0.0871322,-0.0104905,0.0615306,-0.00762383,0.0391737,-0.0100711,-0.0669779,-0.0857829,-0.00881657,0.0586102,
-0.00357769,-0.682282,-0.00439169,-1.23093,-0.0388844,1.89614,0.812224,-0.00354095,-0.681806,-0.00467764,-1.23111,-0.0398425,1.8959,0.812622,-0.00794622,0.0472478,-0.0123292,-0.0747511,-0.0933099,-0.00858563,0.0598878,-0.00861794,0.0442799,-0.0113843,-0.0757381,-0.0969687,-0.0099641,0.0662599,
-0.00445622,-0.677569,-0.00551052,-1.23895,-0.0488604,1.8951,0.819037,-0.00445187,-0.677125,-0.00588098,-1.23912,-0.0500921,1.89485,0.819625,-0.0108058,0.0442441,-0.0120394,-0.0820723,-0.103132,-0.0073302,0.0726654,-0.00958644,0.0492633,-0.0126639,-0.084245,-0.107866,-0.0110796,0.0736896,
-0.00536154,-0.672593,-0.00682674,-1.24756,-0.0603492,1.89398,0.826783,-0.00545836,-0.671954,-0.00721057,-1.24796,-0.0614171,1.89369,0.827363,-0.00345887,0.0587695,-0.0142016,-0.0882613,-0.112961,-0.0125653,0.0908853,-0.0105297,0.0541121,-0.0139097,-0.0925267,-0.118479,-0.012185,0.0809528,
-0.0063364,-0.666832,-0.00832531,-1.25726,-0.0726307,1.89267,0.835229,-0.00655788,-0.666304,-0.00866304,-1.25762,-0.0737888,1.89241,0.835817,-0.00530448,0.0601316,-0.00987177,-0.0998273,-0.136427,-0.00872811,0.0805727,-0.0114472,0.0588246,-0.0151219,-0.100592,-0.128803,-0.0132725,0.0880196,
-0.00746484,-0.660702,-0.00994136,-1.26782,-0.0860294,1.89127,0.844482,-0.00776022,-0.660127,-0.0102514,-1.26819,-0.0873174,1.89102,0.84506,-0.011257,0.0640875,-0.0143434,-0.103645,-0.139852,-0.017645,0.0975078,-0.0123481,0.063433,-0.0163121,-0.108483,-0.138942,-0.0142874,0.0949444,
